"LBDRBFSI.Code.or.Value","LBDRBFSI.Value.Description","LBDRBFSI.Count","LBDRBFSI.Cumulative","LBDRBFSI.Skip.to.Item"
"40.8 to 4305.8","Range of Values",8296,8296,NA
".","Missing",883,9179,NA
