"LBXPFOS.Code.or.Value","LBXPFOS.Value.Description","LBXPFOS.Count","LBXPFOS.Cumulative","LBXPFOS.Skip.to.Item"
"0.14 to 175","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
