"AUXLR124.Code.or.Value","AUXLR124.Value.Description","AUXLR124.Count","AUXLR124.Cumulative","AUXLR124.Skip.to.Item"
"-56 to 50","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
