"LBXV08N.Code.or.Value","LBXV08N.Value.Description","LBXV08N.Count","LBXV08N.Cumulative","LBXV08N.Skip.to.Item"
"0.071 to 1.58","Range of Values",2928,2928,NA
".","Missing",338,3266,NA
