"OSD030ba.Code.or.Value","OSD030ba.Value.Description","OSD030ba.Count","OSD030ba.Cumulative","OSD030ba.Skip.to.Item"
"1 to 79","Range of Values",530,530,NA
"80","80 or older",11,541,NA
"77777","Refused",0,541,NA
"99999","Don't know",7,548,NA
".","Missing",5387,5935,NA
