"CIQDPN.Code.or.Value","CIQDPN.Value.Description","CIQDPN.Count","CIQDPN.Cumulative","CIQDPN.Skip.to.Item"
"1","Yes",0,0,"CIDDPRB"
"2","No",2,2,""
"7","Refuse",0,2,""
"9","Don't know",0,2,""
".","Missing",926,928,""
