"DBQ235A.Code.or.Value","DBQ235A.Value.Description","DBQ235A.Count","DBQ235A.Cumulative","DBQ235A.Skip.to.Item"
"0","Never",64,64,NA
"1","Rarely-less than once a week",145,209,NA
"2","Sometimes-once a week or more, but less than once a 
    day",449,658,NA
"3","Often-once a day or more",4110,4768,NA
"4","Varied",11,4779,NA
"7","Refused",0,4779,NA
"9","Don't know",42,4821,NA
".","Missing",5716,10537,NA
