"DR2TPOTA.Code.or.Value","DR2TPOTA.Value.Description","DR2TPOTA.Count","DR2TPOTA.Cumulative","DR2TPOTA.Skip.to.Item"
"0 to 10506","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
