"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 0.616","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
