"URDMU2LC.Code.or.Value","URDMU2LC.Value.Description","URDMU2LC.Count","URDMU2LC.Cumulative","URDMU2LC.Skip.to.Item"
"0","At or above detection limit",1864,1864,NA
"1","Below lower detection limit",534,2398,NA
".","Missing",107,2505,NA
