"OPDDHOLL.Code.or.Value","OPDDHOLL.Value.Description","OPDDHOLL.Count","OPDDHOLL.Cumulative","OPDDHOLL.Skip.to.Item"
"0","No",2427,2427,NA
"1","Questionable",3,2430,NA
"2","Yes",5,2435,NA
".","Missing",499,2934,NA
