"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",223,223,NA
"2","King (79-88 mm)",612,835,NA
"3","Long (94-101 mm)",423,1258,NA
"4","Ultra long (110-121 mm)",13,1271,NA
".","Missing",6257,7528,NA
