"DS1TPFAT.Code.or.Value","DS1TPFAT.Value.Description","DS1TPFAT.Count","DS1TPFAT.Cumulative","DS1TPFAT.Skip.to.Item"
"0.231 to 11","Range of Values",225,225,NA
".","Missing",9113,9338,NA
