"MCQ240G.Code.or.Value","MCQ240G.Value.Description","MCQ240G.Count","MCQ240G.Cumulative","MCQ240G.Skip.to.Item"
"21 to 79","Range of Values",48,48,NA
"80","80 years or older",5,53,NA
"77777","Refused",0,53,NA
"99999","Don't know",0,53,NA
".","Missing",10056,10109,NA
