"DSD010AN.Code.or.Value","DSD010AN.Value.Description","DSD010AN.Count","DSD010AN.Cumulative","DSD010AN.Skip.to.Item"
"1","Yes",823,823,NA
"2","No",9146,9969,NA
"7","Refused",0,9969,NA
"9","Don't know",2,9971,NA
".","Missing",0,9971,NA
