"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"2.31 to 30589.02","Range of Values",2605,2605,NA
".","Missing",92,2697,NA
