"SSGENX.Code.or.Value","SSGENX.Value.Description","SSGENX.Count","SSGENX.Cumulative","SSGENX.Skip.to.Item"
"0.07 to 0.4","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
