"WTSVS2YR.Code.or.Value","WTSVS2YR.Value.Description","WTSVS2YR.Count","WTSVS2YR.Cumulative","WTSVS2YR.Skip.to.Item"
"7182.03776 to 316913.86472","Range of Values",3189,3189,NA
"0","No Lab Result",258,3447,NA
".","Missing",0,3447,NA
