"LBX187LA.Code.or.Value","LBX187LA.Value.Description","LBX187LA.Count","LBX187LA.Cumulative","LBX187LA.Skip.to.Item"
"2 to 181","Range of Values",1930,1930,NA
".","Missing",344,2274,NA
