"DXDTOLE.Code.or.Value","DXDTOLE.Value.Description","DXDTOLE.Count","DXDTOLE.Cumulative","DXDTOLE.Skip.to.Item"
"12952.1 to 112233.1","Range of Values",4544,4544,NA
".","Missing",1148,5692,NA
