"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"1.1 to 27.1","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
