"WBXP019.Code.or.Value","WBXP019.Value.Description","WBXP019.Count","WBXP019.Cumulative","WBXP019.Skip.to.Item"
"-18.2111 to 177.1114","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
