"DXXVATV.Code.or.Value","DXXVATV.Value.Description","DXXVATV.Count","DXXVATV.Cumulative","DXXVATV.Skip.to.Item"
"0","Valid",4695,4695,NA
"1","Invalid",57,4752,NA
".","Missing",940,5692,NA
