"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0.002 to 23.003","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
