"BPQ150B.Code.or.Value","BPQ150B.Value.Description","BPQ150B.Count","BPQ150B.Cumulative","BPQ150B.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",7401,7403,NA
".","Missing",2240,9643,NA
