"WBXP076.Code.or.Value","WBXP076.Value.Description","WBXP076.Count","WBXP076.Cumulative","WBXP076.Skip.to.Item"
"-171.6272 to 163.2697","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
