"OSQ210.Code.or.Value","OSQ210.Value.Description","OSQ210.Count","OSQ210.Cumulative","OSQ210.Skip.to.Item"
"19 to 101","Range of Values",77,77,NA
"777","Refused",0,77,NA
"999","Don't know",4,81,NA
".","Missing",3734,3815,NA
