"BIXS060K.Code.or.Value","BIXS060K.Value.Description","BIXS060K.Count","BIXS060K.Cumulative","BIXS060K.Skip.to.Item"
"259.83 to 938.64","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
