"DMDHSEDZ.Code.or.Value","DMDHSEDZ.Value.Description","DMDHSEDZ.Count","DMDHSEDZ.Cumulative","DMDHSEDZ.Skip.to.Item"
"1","Less than high school degree",892,892,NA
"2","High school grad/GED or some college/AA degree",2441,3333,NA
"3","College graduate or above",1418,4751,NA
"7","Refused",0,4751,NA
"9","Don't Know",0,4751,NA
".","Missing",4503,9254,NA
