"AUXR2KR.Code.or.Value","AUXR2KR.Value.Description","AUXR2KR.Count","AUXR2KR.Cumulative","AUXR2KR.Skip.to.Item"
"90","90",1,1,NA
"666","No response",0,1,NA
"888","Could not obtain",0,1,NA
".","Missing",2367,2368,NA
