"MPQ010.Code.or.Value","MPQ010.Value.Description","MPQ010.Count","MPQ010.Cumulative","MPQ010.Skip.to.Item"
"1","Yes",1962,1962,""
"2","No",2913,4875,"MPQ060"
"7","Refused",1,4876,"MPQ060"
"9","Don't know",2,4878,"MPQ060"
".","Missing",2,4880,""
