"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"Cigarette Brand/sub-brand","Value was recorded",1103,1103,NA
"< blank >","Missing",3938,5041,NA
