"MCQ245A.Code.or.Value","MCQ245A.Value.Description","MCQ245A.Count","MCQ245A.Cumulative","MCQ245A.Skip.to.Item"
"1","Enter number",3470,3470,NA
"2","Does not work",2570,6040,NA
"7","Refused",1,6041,NA
"9","Don't know",2,6043,NA
".","Missing",3450,9493,NA
