"LBD189LC.Code.or.Value","LBD189LC.Value.Description","LBD189LC.Count","LBD189LC.Cumulative","LBD189LC.Skip.to.Item"
"0","detectable result",6,6,NA
"1","below detectable limit",2292,2298,NA
".","Missing",249,2547,NA
