"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 24","Range of Values",10143,10143,NA
"77","Refused",2,10145,NA
"99","Don't know",4,10149,NA
".","Missing",0,10149,NA
