"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.28 to 25863","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
