"OHQ555Q.Code.or.Value","OHQ555Q.Value.Description","OHQ555Q.Count","OHQ555Q.Cumulative","OHQ555Q.Skip.to.Item"
"1 to 36","Range of Values",2619,2619,""
"7777","Refused",0,2619,"OHQ566"
"9999","Don't know",6,2625,"OHQ566"
".","Missing",6950,9575,""
