"DIQ180.Code.or.Value","DIQ180.Value.Description","DIQ180.Count","DIQ180.Cumulative","DIQ180.Skip.to.Item"
"1","Yes",2836,2836,NA
"2","No",3167,6003,NA
"7","Refused",2,6005,NA
"9","Don't know",181,6186,NA
".","Missing",3389,9575,NA
