"LBCBR11.Code.or.Value","LBCBR11.Value.Description","LBCBR11.Count","LBCBR11.Cumulative","LBCBR11.Skip.to.Item"
"3.536 to 91.93","Range of Values",282,282,NA
".","Missing",2,284,NA
