"DXDTRPF.Code.or.Value","DXDTRPF.Value.Description","DXDTRPF.Count","DXDTRPF.Cumulative","DXDTRPF.Skip.to.Item"
"9.9 to 55","Range of Values",4939,4939,NA
".","Missing",841,5780,NA
