"LBDVD3LC.Code.or.Value","LBDVD3LC.Value.Description","LBDVD3LC.Count","LBDVD3LC.Cumulative","LBDVD3LC.Skip.to.Item"
"0","At or above the detection limit",7410,7410,NA
"1","Below lower detection limit",0,7410,NA
".","Missing",956,8366,NA
