"DID260.Code.or.Value","DID260.Value.Description","DID260.Count","DID260.Cumulative","DID260.Skip.to.Item"
"1 to 31","Range of Values",646,646,NA
"0","Never",125,771,NA
"666","Unable to do activity (blind)",5,776,NA
"777","Refused",0,776,NA
"999","Don't know",1,777,NA
".","Missing",8889,9666,NA
