"RFXT140.Code.or.Value","RFXT140.Value.Description","RFXT140.Count","RFXT140.Cumulative","RFXT140.Skip.to.Item"
"1220 to 1229","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
