"VTQ260B.Code.or.Value","VTQ260B.Value.Description","VTQ260B.Count","VTQ260B.Cumulative","VTQ260B.Skip.to.Item"
"1","Yes",1157,1157,NA
"2","No",1960,3117,NA
"7","Refused",0,3117,NA
"9","Don't know",1,3118,NA
".","Missing",297,3415,NA
