"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.057 to 4.28","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
