"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 20.593","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
