"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"17 to 42.8","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
