"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",1305,1305,""
"2","No",1863,3168,"DRD360"
"7","Refused",4,3172,"DRD360"
"9","Don't know",3,3175,"DRD360"
".","Missing",7302,10477,""
