"LBXP2.Code.or.Value","LBXP2.Value.Description","LBXP2.Count","LBXP2.Cumulative","LBXP2.Skip.to.Item"
"0.04 to 25.3","Range of Values",1380,1380,NA
".","Missing",221,1601,NA
