"BIXS143K.Code.or.Value","BIXS143K.Value.Description","BIXS143K.Count","BIXS143K.Cumulative","BIXS143K.Skip.to.Item"
"103.44 to 875.06","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
