"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 365","Range of Values",3514,3514,NA
"777","Refused",0,3514,NA
"999","Don't know",5,3519,NA
".","Missing",925,4444,NA
