"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.135 to 35.981","Range of Values",5969,5969,NA
".","Missing",580,6549,NA
