"LBDBGELC.Code.or.Value","LBDBGELC.Value.Description","LBDBGELC.Count","LBDBGELC.Cumulative","LBDBGELC.Skip.to.Item"
"0","At or above the detection limit",275,275,NA
"1","Below lower detection limit",7566,7841,NA
".","Missing",1115,8956,NA
