"DS1IKCAL.Code.or.Value","DS1IKCAL.Value.Description","DS1IKCAL.Count","DS1IKCAL.Cumulative","DS1IKCAL.Skip.to.Item"
"0.27 to 520","Range of Values",1515,1515,NA
".","Missing",4443,5958,NA
