"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"5 to 1064","Range of Values",822,822,NA
".","Missing",8737,9559,NA
