"LBDCRYSI.Code.or.Value","LBDCRYSI.Value.Description","LBDCRYSI.Count","LBDCRYSI.Cumulative","LBDCRYSI.Skip.to.Item"
"0.011 to 2.733","Range of Values",7195,7195,NA
".","Missing",891,8086,NA
