"PSQ140.Code.or.Value","PSQ140.Value.Description","PSQ140.Count","PSQ140.Cumulative","PSQ140.Skip.to.Item"
"1","Yes",44,44,""
"2","No",15,59,"PSQ180"
"7","Refused",0,59,"PSQ180"
"9","Don't know",2,61,""
".","Missing",60,121,""
