"DS2TVB6.Code.or.Value","DS2TVB6.Value.Description","DS2TVB6.Count","DS2TVB6.Cumulative","DS2TVB6.Skip.to.Item"
"0.012 to 201.9","Range of Values",1467,1467,NA
".","Missing",8077,9544,NA
