"OPDUCHN.Code.or.Value","OPDUCHN.Value.Description","OPDUCHN.Count","OPDUCHN.Cumulative","OPDUCHN.Skip.to.Item"
"0","No",2314,2314,NA
"1","Questionable",51,2365,NA
"2","Yes",109,2474,NA
"3","Yes, in center",0,2474,NA
".","Missing",460,2934,NA
