"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0.1 to 1200","Range of Values",2349,2349,NA
".","Missing",8188,10537,NA
