"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"1.9 to 7.9","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
