"DSQISODI.Code.or.Value","DSQISODI.Value.Description","DSQISODI.Count","DSQISODI.Cumulative","DSQISODI.Skip.to.Item"
"1 to 1500","Range of Values",761,761,NA
".","Missing",9223,9984,NA
