"URDSSFLC.Code.or.Value","URDSSFLC.Value.Description","URDSSFLC.Count","URDSSFLC.Cumulative","URDSSFLC.Skip.to.Item"
"0","At or above the detection limit",2,2,NA
"1","Below lower detection limit",2389,2391,NA
".","Missing",221,2612,NA
