"DR2TS100.Code.or.Value","DR2TS100.Value.Description","DR2TS100.Count","DR2TS100.Cumulative","DR2TS100.Skip.to.Item"
"0 to 7.147","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
